iyear,imonth,iday,country_txt,provstate,city,latitude,longitude,location,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,gtype,grace,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ransom,ransomamt
2016,10,9,United States,Florida,Century,30.963733,-87.267362,The incident occurred along Jefferson Avenue.,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Wesley Chapel Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,-99,A church was damaged in this attack.,,
2016,11,25,United States,Washington,Tacoma,47.154901,-122.368098,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Our Savior Lutheran Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church was damaged in this attack.,,
2016,12,7,United States,California,Redlands,34.053546,-117.181537,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,First Baptist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),2000,A church was damaged in this attack.,,
1994,12,14,United States,New York,Albany,42.651445,-73.755254,,1,0,5,Hostage Taking (Barricade Incident),8,Educational Institution,49,School/University/Educational Building,State Univeristy of New York-Albany,University Students,217,United States,Unknown,Other/Unknown,NA,5,Firearms,Firearm,0,,,1,,,1,,,,,0,
1970,7,26,United States,Wisconsin,Sparta,43.939135,-90.820369,,1,0,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,,Camp McCoy,217,United States,American Servicemen's Union (ASU),Anti-Government,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),20000,,0,
1970,7,26,United States,Wisconsin,Sparta,43.939135,-90.820369,,1,0,3,Bombing/Explosion,16,Telecommunication,90,Telephone/Telegraph,,telephone exchange,217,United States,American Servicemen's Union (ASU),Anti-Government,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1970,7,26,United States,Wisconsin,Sparta,43.939135,-90.820369,,1,0,3,Bombing/Explosion,21,Utilities,107,Electricity,,electric power substation,217,United States,American Servicemen's Union (ASU),Anti-Government,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1974,3,7,United States,California,San Jose,37.338475,-121.885794,at storage tank,1,0,3,Bombing/Explosion,1,Business,4,Multinational Corporation,Shell Oil Company,storage tank,217,United States,Americans for Justice,Anti-Government,NA,6,Explosives/Bombs/Dynamite,,0,0,0,0,0,0,-9,,,,,,
1974,3,9,United States,California,Los Altos,37.383075,-122.114149,,1,0,3,Bombing/Explosion,1,Business,4,Multinational Corporation,Shell Oil Company,service station,217,United States,Americans for Justice,Anti-Government,NA,6,Explosives/Bombs/Dynamite,,0,0,0,0,0,0,-9,,,,,,
1974,6,15,United States,District of Columbia,Washington,38.89037,-77.031959,,0,0,8,Unarmed Assault,2,Government (General),14,Judge/Attorney/Court,Supreme Court Justices,,217,United States,Anti-Government extremists,Anti-Government,NA,7,Fake Weapons,Harmless substance,0,0,0,0,0,0,0,,,,,0,
1974,8,6,United States,California,Los Angeles,33.941589,-118.40853,Los Angeles International Airport,1,0,3,Bombing/Explosion,6,Airports & Aircraft,44,Airport,Airport,Los Angeles International Airport,217,United States,Anti-Government extremists,Anti-Government,NA,6,Explosives/Bombs/Dynamite,,3,3,0,36,36,0,1,3,Minor (likely < $1 million),-99,considerable damage including a 10 by 15 foot hole in the wall and several huge plate glass windows were shattered,,
1974,8,16,United States,California,Los Angeles,34.05349,-118.245319,,0,0,3,Bombing/Explosion,19,Transportation,101,Bus Station/Stop,Greyhound Bus Depot,Greyhound bus station in Los Angeles,217,United States,Anti-Government extremists,Anti-Government,NA,6,Explosives/Bombs/Dynamite,25-pound bomb,0,0,0,0,0,0,0,,,,,,
1975,2,3,United States,Colorado,Denver,39.74001,-104.992259,,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,,Security and exchange Comm.,217,United States,Continental Revolutionary Army,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,4,,,1,3,Minor (likely < $1 million),60000,,0,
1975,12,23,United States,Colorado,Denver,39.74001,-104.992259,,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,,Federal Building (New Custom House),217,United States,Continental Revolutionary Army,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),5000,,0,
1977,10,20,United States,New York,New York City,40.712784,-74.005941,,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,,Air India Airline Office,92,India,Universal Proutist Revolutionary Federation,Anti-Government,Indian,8,Incendiary,Incendiary,0,,,0,,,1,,,,,0,
1977,11,29,United States,District of Columbia,Washington,38.89037,-77.031959,,1,0,2,Armed Assault,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Indian Embassy,Indian Diplomat,92,India,Universal Proutist Revolutionary Federation,Anti-Government,Indian,9,Melee,Knives (2),0,0,0,1,0,0,0,,,,,0,
1986,3,3,United States,California,Culver City,33.988669,-118.389545,6071 Slauson Ave.,0,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Internal Revenue Service,"Internal Revenue Service offices, Culver City California",217,United States,"Up the IRS, Inc",Anti-Government,NA,6,Explosives/Bombs/Dynamite,Four pipe bombs,0,0,0,0,0,0,0,,,,,0,
1986,7,3,United States,Illinois,Chicago,41.88415,-87.632409,330 E. 220 Street,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Internal Revenue Service,"Internal Revenue Service Office, Lombard Illinois",217,United States,Anti-Government Group,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Nine inch stick of dynamite placed in a clay pipe,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Glass doors and windows shattered,0,
1987,3,2,United States,California,Laguna Niguel,33.522526,-117.707553,,0,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Building housing Internal Revenue Service offices,"Internal Revenue Service building, Laguna Niguel California",217,United States,"Up the IRS, Inc",Anti-Government,NA,6,Explosives/Bombs/Dynamite,Five mortar shells consisting of small pipe nipples launched from a homemade firing device,0,0,0,0,0,0,0,,,,,0,
1988,7,8,United States,California,Laguna Niguel,33.522526,-117.707553,,0,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Utility pole that provided electricity to an office of the Internal Revenue Service,"Internal Revenue Service building, Laguna Niguel California",217,United States,"Up the IRS, Inc",Anti-Government,NA,6,Explosives/Bombs/Dynamite,An Improvised Explosive Device consisting of three canisters of ammonium nitrate-fuel oil and one pipe bomb connected to a timing mechanism and buried at the bottom of the utility pole.,0,0,0,0,0,0,0,,,,,0,
1988,9,19,United States,California,Los Angeles,34.03596,-118.445058,11500 West Olympic Blvd.,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Building housing Internal Revenue Service offices,"Internal Revenue Service offices, Los Angeles California",217,United States,"Up the IRS, Inc",Anti-Government,NA,2,Chemical,"Six pipe bombs placed in the car.   Also, gasoline cans and bottles filled with ammonia and bleach placed in the trunk that, if ignited, would release a toxic cloud.  There was also a water heater filled with a mixture of ammonium nitrate and fuel oil placed in the car.  Additionally, the car was booby-trapped to detonate if it was moved.",0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Car was damaged,0,
1989,3,20,United States,California,Los Angeles,34.05349,-118.245319,Tennessee Ave.,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Utility pole that provided electricity to an office of the Internal Revenue Service,"Internal Revenue Service offices, Los Angeles California",217,United States,"Up the IRS, Inc",Anti-Government,NA,6,Explosives/Bombs/Dynamite,Three Improvised Explosive Devices connected to a timing mechanism,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Minor structural damages to three utility poles,0,
1989,8,21,United States,Georgia,Atlanta,33.748315,-84.391109,,1,0,3,Bombing/Explosion,12,NGO,61,Domestic NGO,National Association for the Advancement of Colored People (NAACP),"NAACP Southeastern regional headquarters office in Atlanta, Georgia",217,United States,Americans for a Competent Federal Judicial System,Anti-Government,NA,6,Explosives/Bombs/Dynamite,"packaged gas bomb containing a substance similar to tear gas, that emitted a white-yellow smoke and caused burning eyes and throats",0,0,0,8,8,0,0,,,,,,
1989,12,16,United States,Alabama,Mountain Brook,33.502115,-86.755509,,1,0,3,Bombing/Explosion,2,Government (General),14,Judge/Attorney/Court,Judge on the 11th Circuit Court of Appeals,Robert Smith Vance,217,United States,Americans for a Competent Federal Judicial System,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Pipe bomb placed in a small brown package triggered to detonate when opened,1,1,0,1,1,0,1,3,Minor (likely < $1 million),,,0,
1989,12,18,United States,Florida,Jacksonville,30.33138,-81.655799,,0,0,3,Bombing/Explosion,14,Private Citizens & Property,82,Labor Union Related,NAACP,Headquarters,217,United States,Americans for a Competent Federal Judicial System,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Package bomb,,,0,,,0,1,,,,,0,
1989,12,18,United States,Georgia,Savannah,32.08078,-81.090719,,1,0,1,Assassination,1,Business,,,Lawyer and Savannah Alderman,Robert Robinson,217,United States,Americans for a Competent Federal Judicial System,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Package bomb,1,1,,0,0,,0,,,,,0,
1989,12,18,United States,Georgia,Atlanta,33.748315,-84.391109,,0,0,3,Bombing/Explosion,2,Government (General),14,Judge/Attorney/Court,Govt,11th Circuit Court,217,United States,Americans for a Competent Federal Judicial System,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Package bomb,0,,,0,,,1,,,,,0,
1990,2,22,United States,California,Los Angeles,34.05349,-118.245319,,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,U.S. Government,Internal Revenue Service,217,United States,"Up the IRS, Inc",Anti-Government,NA,6,Explosives/Bombs/Dynamite,Truck bomb with explosive chemicals,0,0,0,0,0,0,1,,,,,0,
1991,3,31,United States,California,Fresno,36.73048,-119.724526,South Willow Ave.,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,National Treasury Employees Labor Union,"National Treasury Employees Labor Union Building, Fresno California",217,United States,"Up the IRS, Inc",Anti-Government,NA,6,Explosives/Bombs/Dynamite,Pipe bomb connected to a timing device,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,"The labor union building was damaged, windows were shattered at a nearby apartment, and a natural gas line was ruptured causing a small fire.",0,
1991,4,1,United States,California,Fresno,36.740685,-119.785734,,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,U.S. Internal Revenue Service,I.R.S. Offices in Fresno CA,217,United States,"Up the IRS, Inc",Anti-Government,NA,6,Explosives/Bombs/Dynamite,Pipe bombs (9),,,,,,,1,,,,,0,
1992,4,15,United States,California,Hayward,37.675211,-122.079314,1260 B Street,1,0,2,Armed Assault,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Internal Revenue Service,Internal Revenue Service office in Hayward California,217,United States,Anti-Government Group,Anti-Government,NA,5,Firearms,Shotgun,0,0,0,0,0,0,1,3,Minor (likely < $1 million),1000,Window shattered and shotgun pellets scattered throughout the office,0,
1995,3,28,United States,Nevada,Lamoille,40.729069,-115.47876,Humboldt National Forest,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,National Forest facilities,Outhouse on a Humboldt National Forest campground,217,United States,Anti-Government Group,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Pipe bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Outhouse damaged,0,
1995,4,19,United States,Oklahoma,Oklahoma City,35.472015,-97.520354,,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,,Alfred P. Murrah Federal Building,217,United States,Anti-Government extremists,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Explosive,168,168,0,650,650,0,1,2,Major (likely > $1 million but < $1 billion),652000000,"Damages: More than 300 buildings destroyed or damaged, 86 cars burned and glass shattered for several miles.",0,
1996,4,12,United States,California,Vacaville,38.351355,-121.993429,Interstate 80,1,0,3,Bombing/Explosion,2,Government (General),18,"Government Personnel (excluding police, military)",Federal employee,Truck of a mine inspector working for the United States department of Labor,217,United States,Anti-Government Group,Anti-Government,NA,6,Explosives/Bombs/Dynamite,Pipe bomb,0,0,0,2,2,0,1,3,Minor (likely < $1 million),,Vehicle engulfed with flames,0,
1997,5,3,United States,Colorado,Colorado Springs,38.85978,-104.757328,2020 North Academy Blvd.,1,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,Internal Revenue Service,"Internal Revenue Service Office, Colorado Springs",217,United States,Anti-Government Group,Anti-Government,NA,8,Incendiary,Gasoline ignited by a timing device,0,0,0,1,1,0,1,2,Major (likely > $1 million but < $1 billion),2500000,Building gutted,0,
1999,4,10,United States,Colorado,Colorado Springs,38.793235,-104.803412,1259 Lake Plaza Drive,1,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,Internal Revenue Service,"Internal Revenue Service Office, Colorado Springs",217,United States,Anti-Government Group,Anti-Government,NA,8,Incendiary,Accelerant made out of oil or gasoline,0,0,0,1,1,0,1,3,Minor (likely < $1 million),,Building sustained heavy damage,0,
2002,5,3,United States,Indiana,Bloomington,39.16659,-86.534244,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217,United States,Anti-Government extremists,Anti-Government,NA,6,Explosives/Bombs/Dynamite,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0,0,0,1,1,0,1,3,Minor (likely < $1 million),,Mailboxes were damaged in the attacks.,,
2002,5,3,United States,Iowa,Eldridge,41.658086,-90.584582,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217,United States,Anti-Government extremists,Anti-Government,NA,6,Explosives/Bombs/Dynamite,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0,0,0,1,1,0,1,3,Minor (likely < $1 million),,Mailboxes were damaged in the attacks.,,
